URL,Content Type,Size (bytes),# of outlinks
"https://www.latimes.com/podcasts/the-envelope-podcast?utm_source=on_site&utm_medium=homepagebarker&utm_campaign=the_envelope_podcast
","text/html
","432267
","202
"
"https://www.latimes.com/terms-of-service
","text/html
","259318
","149
"
"https://www.latimes.com/politics/story/2022-02-16/poll-california-feinstein-harris-biden-padilla
","text/html
","280431
","157
"
"https://www.latimes.com/sports
","text/html
","202055
","130
"
"https://www.latimes.com/food/story/2021-12-07/indigenous-restaurant-workers-cielo
","text/html
","323529
","145
"
"https://www.latimes.com/california/story/2022-02-14/california-school-mask-mandate-will-remain-in-place-through-feb-28
","text/html
","181042
","47
"
"https://www.latimes.com/brandpublishing/hotproperty/hot-property-orange-county/story/2022-02-12/7-brand-new-residences
","text/html
","298372
","152
"
"https://www.latimes.com/travel/story/2021-04-09/palm-springs-driving-tour
","text/html
","220323
","93
"
"https://www.latimes.com/projects/la-me-dirty-john/
","text/html
","302165
","155
"
"https://www.latimes.com/travel/story/2022-02-10/where-is-pinnacles-national-park-and-why-are-so-many-people-going-there
","text/html
","268216
","144
"
"https://www.latimes.com/espanol/eeuu/articulo/2022-02-15/biden-pide-al-congreso-30-000-millones-de-dolares-mas-para-atajar-la-pandemia
","text/html
","228810
","100
"
"https://www.latimes.com/lifestyle/story/2020-07-28/socially-distanced-sculpture-exhibit-sherman-gardens-corona-del-mar
","text/html
","444262
","135
"
"https://www.latimes.com/lifestyle/story/2022-02-03/la-affairs-gilbert-young-dim-sum-and-love
","text/html
","227312
","140
"
"https://www.latimes.com/espanol/california/articulo/2022-02-16/el-cubrebocas-dejo-de-ser-necesario-en-muchos-lugares-de-california
","text/html
","273659
","159
"
"https://www.latimes.com/california/story/2022-02-16/rams-fans-celebrate-first-ever-super-bowl-parade-in-los-angeles
","text/html
","258845
","148
"
"https://www.latimes.com/b2b-publishing-and-events
","text/html
","256682
","138
"
"https://www.latimes.com/food/story/2021-12-07/how-richard-gomez-tamale-cart-design-may-change-street-vending-in-la
","text/html
","257834
","152
"
"https://www.latimes.com/sports/clippers/story/2022-02-15/clippers-robert-covington-deflects-passes-not-credit
","text/html
","210301
","114
"
"https://www.latimes.com/business/technology/story/2022-02-16/apple-shareholders-oppose-cooks-pay-package
","text/html
","208413
","92
"
"https://www.latimes.com/entertainment-arts/story/2022-02-16/linda-evangelista-coolsculpting-lawsuit-people
","text/html
","273684
","156
"
"https://www.latimes.com/home/la-hm-stahlhouse-pictures-photogallery.html
","text/html
","103689
","69
"
"https://www.latimes.com/espanol/eeuu/articulo/2022-02-16/informe-ex-secretario-de-interior-de-eeuu-abuso-de-su-cargo
","text/html
","247322
","122
"
"https://www.latimes.com/world-nation/story/2022-02-16/russia-claims-more-troop-pullback-nato-skeptical
","text/html
","163176
","118
"
"https://www.latimes.com/bestcovery/?utm_source=on_site&utm_medium=homepagebarker&utm_campaign=bestcovery
","text/html
","271767
","155
"
"https://www.latimes.com/coupon-codes?utm_source=on_site&utm_medium=homepagebarker&utm_campaign=coupon_codes
","text/html
","285037
","162
"
"https://www.latimes.com/food/story/2021-12-07/10-places-to-drink-wine-beer-cocktails-caffeine-right-now
","text/html
","226486
","142
"
"https://www.latimes.com/paid-posts/?ntv_adpz=3111
","text/html
","335821
","171
"
"https://www.latimes.com/entertainment-arts/story/2022-02-11/ar-mushroom-cloud-over-the-santa-monica-pier-frieze-week
","text/html
","287764
","144
"
"https://www.latimes.com/podcasts/story/2022-02-16/the-times-podcast-california-death-penalty
","text/html
","340259
","161
"
"https://www.latimes.com/opinion
","text/html
","225008
","97
"
"https://www.latimes.com/home/hometours/la-hm-meiselman-20170208-story.html
","text/html
","271032
","170
"
"https://www.latimes.com/topic/super-bowl-2022-in-los-angeles
","text/html
","263276
","147
"
"https://www.latimes.com/espanol/eeuu/articulo/2022-02-16/camion-con-gasolina-se-estrella-contra-edificio-y-estalla-en-nueva-york
","text/html
","218693
","132
"
"https://www.latimes.com/business/story/2022-02-15/california-officials-offer-tips-on-fire-safety-to-help-cut-your-home-insurance-bill
","text/html
","264368
","146
"
"https://www.latimes.com/california/story/2022-01-13/lawmakers-move-to-tighten-restrictions-on-sex-offending-doctors
","text/html
","278495
","158
"
"https://www.latimes.com/people/bill-addison
","text/html
","430036
","210
"
"https://www.latimes.com/chasemortgage
","text/html
","244617
","136
"
"https://www.latimes.com/lifestyle/newsletter/2022-02-10/the-wild-2-10-22-evergreen-pear-trees-the-wild
","text/html
","196909
","89
"
"https://www.latimes.com/business
","text/html
","277871
","145
"
"https://www.latimes.com/entertainment-arts/story/2021-04-27/welcome-to-asian-enough-season-2
","text/html
","292587
","140
"
"https://www.latimes.com/espanol/vida-y-estilo/articulo/2022-02-11/australia-declara-al-koala-especie-en-peligro
","text/html
","262289
","156
"
"https://www.latimes.com/lifestyle/story/2022-02-10/yuko-kitchen-plants-restaurants
","text/html
","253454
","144
"
"https://www.latimes.com/entertainment-arts/story/2022-02-16/slave-play-set-transforms-la-mark-taper-forum
","text/html
","261266
","147
"
"https://www.latimes.com/sports/story/2022-02-16/nfl-2022-season-expect-issues-brian-flores-aaron-rodgers
","text/html
","307041
","136
"
"https://www.latimes.com/brandpublishing/business-advisory
","text/html
","249974
","147
"
"https://www.latimes.com/sports/clippers/story/2022-02-15/clippers-rally-fall-short-against-hot-suns
","text/html
","211838
","131
"
"https://www.latimes.com/food/story/2021-12-07/chef-martin-draluck
","text/html
","263718
","138
"
"https://www.latimes.com/sports/olympics/story/2022-02-16/us-womens-hockey-canada-gold-medal
","text/html
","216256
","93
"
"https://www.latimes.com/games/daily-crossword
","text/html
","272085
","146
"
"https://www.latimes.com/home/hometours/la-hm-hoyt-house-20151003-story.html
","text/html
","43667
","23
"
"https://www.latimes.com/espanol/deportes/articulo/2022-02-16/critica-ops-decision-de-novak-djokovic
","text/html
","294687
","160
"
"https://www.latimes.com/lifestyle/story/2022-02-11/heartbreak-hurts-on-valentines-day-therapists-explain-what-we-can-learn-from-movie-breakups
","text/html
","211838
","132
"
"https://www.latimes.com/subscriptions/subscribe.html?int_source=marketing_content&int_medium=FS&int_campaign=LAFA22
","text/html
","252693
","153
"
"https://www.latimes.com/entertainment-arts/business/story/2022-02-15/explaining-hollywood-how-to-become-a-unit-photographer
","text/html
","201325
","135
"
"https://www.latimes.com/games/daily-crossword?utm_source=LATIMES&utm_medium=homepagebarker&utm_campaign=games
","text/html
","260194
","154
"
"https://www.latimes.com/food/story/2021-05-16/phenakite-los-angeles-times-restaurant-of-the-year
","text/html
","34762
","23
"
"https://www.latimes.com/brandpublishing/mba-insider
","text/html
","237637
","147
"
"https://www.latimes.com/politics/newsletter/2022-02-16/essential-politics-kamala-harris-vp-portfolio-migration-voting-rights-essential-politics
","text/html
","251903
","129
"
"https://www.latimes.com/subscriptions/digital.html?int_source=marketing_content&int_medium=DI&int_campaign=LAFA22&int_content=footer
","text/html
","352238
","193
"
"https://www.latimes.com/sports/soccer/story/2022-02-16/uswnt-soccer-ashley-hatch
","text/html
","210308
","91
"
"https://www.latimes.com/la-tm-sinatra26mar26-story.html
","text/html
","219632
","116
"
"https://www.latimes.com/entertainment-arts
","text/html
","265765
","145
"
